Commercial|rent|Hyderabad|Andhra Pradesh|India||Fully furnished office space with 22 work stations,5 cabins, reception, conference hall, cafeteria, centralize ac, 1 lift, re...|151000|0|2900||2012-11-24||makaan.com|http://www.makaan.com/hyderabad-property/begumpet-property/available-office-for-rent-in-begumpet-2364200-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:11 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||Fully furnished office space with 65 work stations, cabins, reception,conference hall,cafeteria,centralise ac,1 lift,ready to...|510000|0|8500||2012-11-24||makaan.com|http://www.makaan.com/hyderabad-property/hi-tech-city-property/available-office-for-rent-in-hi-tech-city-2364217-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:11 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||Fully furnished office space with 35 work stations, cabins, reception, confrence hall,centralise ac,1 lift,ready to occupy|208000|0|4000||2012-11-24||makaan.com|http://www.makaan.com/hyderabad-property/jubilee-hills-property/available-office-for-rent-in-jubilee-hills-2364208-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:11 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||Fully furnished office space with 15 work stations,3 cabins, reception,confrence hall, centralise ac,1 lift,ready to occupy|12800000|0|2550||2012-11-24||makaan.com|http://www.makaan.com/hyderabad-property/somajiguda-property/available-office-for-rent-in-somajiguda-2364186-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:11 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||This retail space was earlier occupied by health and glow and food world.   this opp to bajaj elctrical on road no.36, jubile...|235000|400|0||2013-01-05||makaan.com|http://www.makaan.com/hyderabad-property/jubilee-hills-property/bhk-showroom-for-rent-in-jubilee-hills-2411169-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:13 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||A grade commerical having main road view  suitable for show rooms restaurant corporate hospitals offices|400000|622|0||2012-12-28||makaan.com|http://www.makaan.com/hyderabad-property/madhapur-property/bhk-showroom-for-rent-in-madhapur-2429385-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:13 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||Brand new stand alone building (delta seacon at banjara hills road. no - 11) has 2,595 sq.feet ground floor space for commerc...|181650|0|2595||2012-12-19||makaan.com|http://www.makaan.com/hyderabad-property/banjara-hills-property/available-shop-for-rent-in-banjara-hills-2412859-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:13 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India|||1200000|0|0||2012-12-10||makaan.com|http://www.makaan.com/hyderabad-property/ida-chearlapally-property/warehouse-godown-for-rent-in-ida-chearlapally-2396311-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:13 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||Independent building (g+2) 3 bedroom each total 9 bedrooms new building 6500sft semifurnished banjarahills rd no:10 for compa...|125000|0|6500715||2012-11-29||makaan.com|http://www.makaan.com/hyderabad-property/banjara-hills-property/other-commercial-for-rent-in-banjara-hills-2376447-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:13 +0530
Commercial|rent|Hyderabad|Andhra Pradesh|India||Fully furnished office space with 30 work stations,  2 cabins,discussion,confrence,reception                 |128000|0|3200||2012-11-24||makaan.com|http://www.makaan.com/hyderabad-property/somajiguda-property/available-office-for-rent-in-somajiguda-2364225-0-0-9/b683e4f6b8d33df1620e7194475fed77.php|2013-01-23 14:05:13 +0530
